spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
72XWsiLW8q2g8Lv0a010ha,2020-10-28 16:00:11,android,206520,The Great Escape,BOYS LIKE GIRLS,Boys Like Girls,trackdone,trackdone,TRUE,FALSE
09e3onHcCEizlM8IW0t5ff,2020-11-01 22:16:02,android,330586,The Great Eye,Howard Shore,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,trackdone,trackdone,FALSE,FALSE
07dcoHmvDST7SAUH0sdEjR,2020-11-05 19:19:39,android,16063,Getting Rid of Britta,Chevy Chase,Community (Music from the Original Television Series),clickrow,endplay,FALSE,FALSE
3uNcNOaxl0cvfiYhWnZe6x,2020-11-09 05:35:47,android,1120,Honey Slider,Houndmouth,Little Neon Limelight,appload,logout,FALSE,FALSE
1XsS266JiQtoqqLdlgD17V,2020-11-12 05:09:10,android,293506,Miss Atomic Bomb,The Killers,Battle Born,trackdone,trackdone,TRUE,FALSE
3tGhRLgcCP6SIZU3tbGl7l,2020-11-15 20:25:47,android,149240,Got To Get You Into My Life - Remastered 2009,The Beatles,Revolver,trackdone,trackdone,TRUE,FALSE
7vMCInGW1N1uTFC1LoklEM,2020-11-17 02:14:29,android,198653,Old Brown Shoe - Remastered 2009,The Beatles,Past Masters,trackdone,trackdone,TRUE,FALSE
4FWsv3g7UvwGn8PHpCbePQ,2020-11-18 22:12:12,android,573,Ten Cent Pistol,The Black Keys,Brothers,fwdbtn,fwdbtn,TRUE,FALSE
5BhMoGrz5KzG2fA5uzHjZ1,2020-11-20 21:08:16,android,198862,Don't Let Me Down - Naked Version / Remastered 2013,The Beatles,Let It Be... Naked,trackdone,trackdone,TRUE,FALSE
29Xdknl9fhRsV0oOYyQOKy,2020-11-23 17:35:42,android,131440,You're the One,The Vogues,The Vogues,clickrow,trackdone,TRUE,FALSE
0JNZGIavoUrdup1NsgJOQs,2020-11-25 23:41:39,android,3335,Alabama Song (Whisky Bar),The Doors,The Doors,trackdone,fwdbtn,TRUE,FALSE
08TyPDbQ14NOoOWh13WJ2Z,2020-11-30 19:15:27,android,740,Absolutely Sweet Marie,Bob Dylan,Blonde On Blonde,fwdbtn,fwdbtn,TRUE,FALSE
6WEBwvsmpaoGxka0tSh5a7,2020-12-04 23:35:20,android,1486,Won't Go Home Without You,Maroon 5,It Won't Be Soon Before Long,trackdone,fwdbtn,TRUE,FALSE
6EThJr4Dq1Y93JspecGU2F,2020-12-09 22:55:19,android,208765,Cigarette Daydreams,Cage The Elephant,Melophobia,trackdone,trackdone,FALSE,FALSE
0x2wtJbtJrox3SDmnMj97x,2020-12-11 18:34:07,android,270,Gimme Three Steps,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,fwdbtn,fwdbtn,TRUE,FALSE
78MXICbE7bD4cuPKFh1EFO,2020-12-13 00:48:21,android,902,Celebration Day - Remaster,Led Zeppelin,Led Zeppelin III,fwdbtn,fwdbtn,TRUE,FALSE
6Oi0qvf8bhPMdlmbfxBpYy,2020-12-15 00:45:57,android,1760,All This Music Must Fade,The Who,WHO,fwdbtn,fwdbtn,TRUE,FALSE
7xRemq7GLu0Tbqe9OckG87,2020-12-19 07:43:12,android,186213,The Man in Me,Bob Dylan,New Morning,trackdone,trackdone,TRUE,FALSE
0hmxVkpxbcdHAXUoZ7DeCQ,2020-12-21 01:25:42,android,296938,Did My Best,The Voidz,Did My Best,clickrow,trackdone,FALSE,FALSE
13lZDbwonGhOflQLQIfdtZ,2020-12-26 21:48:45,android,593,We're Going to Be Friends,The White Stripes,White Blood Cells,appload,fwdbtn,TRUE,FALSE
6yl8Es1tCYD9WdSkeVLFw4,2021-01-04 19:45:32,android,210880,You Shook Me All Night Long,AC/DC,Who Made Who,trackdone,trackdone,TRUE,FALSE
1d7IQjawp6lLUcbarurQ31,2021-01-08 01:24:26,android,1090,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,fwdbtn,fwdbtn,TRUE,FALSE
1XxRYmDKuABtbtCozx3pA2,2021-01-12 00:39:08,android,0,Me & Magdalena,The Monkees,Good Times!,backbtn,backbtn,TRUE,FALSE
7wDqHhtRkP1TXSlZK0sEQH,2021-01-14 20:06:34,android,46,Guiding Light,Mumford & Sons,Guiding Light,clickrow,endplay,FALSE,FALSE
4yBxXm4dDL00YGdO5G9ubK,2021-01-17 00:16:01,android,160501,Sit Around And Miss You,The Black Keys,"""Let's Rock""",trackdone,trackdone,TRUE,FALSE
62AuGbAkt8Ox2IrFFb8GKV,2021-01-21 00:17:47,android,203573,Sweet Caroline,Neil Diamond,Sweet Caroline,trackdone,trackdone,FALSE,FALSE
1UH4viviUjZnS9aWgPGrk0,2021-01-26 18:20:12,android,204400,La vie en rose - Single Version,Louis Armstrong,The Best Of The Decca Years Volume One: The Singer,trackdone,trackdone,TRUE,FALSE
4ErQ9so16QNxy0srB7vJE7,2021-01-29 00:26:44,android,169880,Gianni Schicchi: O mio babbino caro,Giacomo Puccini,Opera Chill & Relax,trackdone,trackdone,FALSE,FALSE
6RMZQm0MRP8qkRKTnzyYWB,2021-01-31 03:26:47,android,262386,Unfamiliar Sun,Twin Peaks,Lookout Low,trackdone,trackdone,FALSE,FALSE
21s2FWRApO7LxvhunUoPNm,2021-02-03 12:58:36,android,66822,My Mind,Skegss,My Own Mess,appload,endplay,FALSE,FALSE
3gwRWIbr5ycEVLIAXrWaw7,2021-02-10 01:37:50,android,217560,I've Got A Feeling - Remastered 2009,The Beatles,Let It Be,trackdone,trackdone,FALSE,FALSE
5s65w9U1L2saKk4z8SF4Zr,2021-02-17 17:39:40,android,209453,Blowback - Acoustic,The Killers,Imploding The Mirage - Deluxe,trackdone,trackdone,FALSE,FALSE
5ygQD0fcj0vRGx9KUBENtT,2021-02-20 00:24:22,android,1572,The Wind Cries Mary,Jimi Hendrix,Are You Experienced,fwdbtn,fwdbtn,TRUE,FALSE
3LhjNv5iXXelvLVxn1s5Di,2021-02-21 20:15:56,android,23,Man We Was Lonely - Remastered 2011,Paul McCartney,McCartney,fwdbtn,fwdbtn,TRUE,FALSE
5n0CTysih20NYdT2S0Wpe8,2021-02-23 23:19:43,android,225973,Trouble,Cage The Elephant,Tell Me I'm Pretty,trackdone,trackdone,TRUE,FALSE
0BSGaoMiJ5gTho2V1pLkDF,2021-03-01 23:42:19,android,289213,A Most Disgusting Song,Rodríguez,Coming From Reality,trackdone,trackdone,TRUE,FALSE
